,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
3180,29251403,29722553,Yannick,Centrum-Oost,52.36939,4.90386,Private room,75,3,79,3,149
3181,29256776,23687759,Ryan,De Pijp - Rivierenbuurt,52.35272,4.90364,Entire home/apt,250,3,5,1,64
3182,29258934,44051824,Brigitte,IJburg - Zeeburgereiland,52.36122,4.97921,Private room,55,1,70,2,161
3183,29268359,29722553,Yannick,Centrum-Oost,52.37032,4.90575,Private room,75,3,56,3,7
3184,29275106,9904162,Lorin,Buitenveldert - Zuidas,52.3271,4.86158,Entire home/apt,250,3,12,1,0
3185,29298781,2342196,Kes,De Baarsjes - Oud-West,52.36379,4.86229,Private room,82,2,43,1,159
3186,29301817,220711664,Amsterdam East By YAYS,Oostelijk Havengebied - Indische Buurt,52.36787,4.93374,Entire home/apt,491,1,41,4,365
3187,29302172,220711664,Amsterdam East By YAYS,Oostelijk Havengebied - Indische Buurt,52.36865,4.93321,Entire home/apt,291,1,30,4,327
3188,29302385,220711664,Amsterdam East By YAYS,Centrum-Oost,52.36826,4.93194,Entire home/apt,267,1,11,4,350
3189,29302592,220711664,Amsterdam East By YAYS,Oostelijk Havengebied - Indische Buurt,52.36823,4.93375,Entire home/apt,314,1,164,4,346
3190,29304751,6012116,Annelous,Oud-Noord,52.39666,4.91655,Entire home/apt,175,2,10,1,0
3191,29307344,27951211,Eelke & Erwin,Westerpark,52.37506,4.86475,Entire home/apt,100,4,12,1,0
3192,29322058,5490364,Kurt,De Baarsjes - Oud-West,52.36983,4.8651,Entire home/apt,200,1,23,1,121
3193,29332959,12364777,Suzanne,De Pijp - Rivierenbuurt,52.35422,4.88721,Private room,100,2,96,1,0
3194,29335948,221002167,Sascha,Slotervaart,52.34908,4.8416,Entire home/apt,119,4,7,1,0
3195,29350903,4029713,Otto,De Pijp - Rivierenbuurt,52.353320000000004,4.89381,Private room,110,3,30,1,110
3196,29383618,221337240,Amsterdam Prince Island By YAYS,Centrum-West,52.38296,4.88773,Entire home/apt,442,1,9,5,311
3197,29383770,221337240,Amsterdam Prince Island By YAYS,Centrum-West,52.38445,4.88746,Entire home/apt,487,1,3,5,268
3198,29383911,221337240,Amsterdam Prince Island By YAYS,Centrum-West,52.38302,4.88784,Entire home/apt,463,1,14,5,349
3199,29384046,221337240,Amsterdam Prince Island By YAYS,Centrum-West,52.38485,4.88892,Entire home/apt,529,1,1,5,353
